name,safe_name,lat,lon
5 saylı Uşaq Xəstəxanası,5_saylı_uşaq_xəstəxanası,40.4211293,49.9673331
15 saylı Xəstəxan \ Qaraçuxur,15_saylı_xəstəxan_qaraçuxur,40.3915981,49.9727994
Elmi Tədqiqat Tibbi Bərpa İnstitutu,elmi_tədqiqat_tibbi_bərpa_i_nstitutu,40.3841367,49.8522795
Uşaq Reabilitasiya Mərkəzi \ Bakı,uşaq_reabilitasiya_mərkəzi_bakı,40.3997977,49.874585
24 saylı Xəstəxana \ Günəşli,24_saylı_xəstəxana_günəşli,40.3726357,49.9754816
Biovista,biovista,40.3492211,49.8109241
City Hospital,city_hospital,40.4019076,49.8337321
Məhkəmə Tibbi Ekspertiza \ Nizami,məhkəmə_tibbi_ekspertiza_nizami,40.3991358,49.966338
German gospital,german_gospital,40.3696389,49.8211692
Lux İnternational Hospital,lux_i_nternational_hospital,40.4056571,49.8728313
Olimp Hospital,olimp_hospital,40.3756556,49.8195849
Erkən Müdaxilə Mərkəzi,erkən_müdaxilə_mərkəzi,40.3770112,49.8361839
West Hospital \ 8 mkr,west_hospital_8_mkr,40.424856,49.84693
Baku Medical Plaza \ Günəşli,baku_medical_plaza_günəşli,40.394244,49.9646588
Təcili Yardim Xəstəxanasi Musa Nağiyev adina,təcili_yardim_xəstəxanasi_musa_nağiyev_adina,40.3916215,49.8323972
QİÇS Spid Mərkəzi,qi_çs_spid_mərkəzi,40.3931337,49.8294288
Toksikoloji Mərkəz,toksikoloji_mərkəz,40.3937004,49.8309687
1 saylı vərəm deispanseri,1_saylı_vərəm_deispanseri,40.406576,49.8009285
1 saylı vərəm dispanseri,1_saylı_vərəm_dispanseri,40.4060875,49.8010778
Neftçilər Xəstəxanası,neftçilər_xəstəxanası,40.3810163,49.8635041
Daxili İşlər Nazirliyinin Hospitalı,daxili_i_şlər_nazirliyinin_hospitalı,40.4132572,49.8503013
SWISSDENT  klinikası,swissdent_klinikası,40.3744557,49.8054644
K.Fərəcova adına Elmi-Tədqiqat Pediatriya İnstitutu - OMD,k_fərəcova_adına_elmi-tədqiqat_pediatriya_i_nstitutu_-_omd,40.3847267,49.8262143
Mərkəzi klinik xəstəxana,mərkəzi_klinik_xəstəxana,40.361534,49.8245305
Mərkəzi Gömrük Hospitalı,mərkəzi_gömrük_hospitalı,40.3782725,49.8188287
Leyla Şıxlinskaya Klinikası,leyla_şıxlinskaya_klinikası,40.38199,49.8632322
Semaşko Xəstəxanası,semaşko_xəstəxanası,40.3945439,49.8310965
Dəmiryol Xəstəxanası,dəmiryol_xəstəxanası,40.3800969,49.8522893
M. Topçubaşov adına cərrahiyyə mərkəzi,m_topçubaşov_adına_cərrahiyyə_mərkəzi,40.3958434,49.8037311
Silahlı Quvvələrin Hospitalın Qərargahı,silahlı_quvvələrin_hospitalın_qərargahı,40.4009661,49.824056
Hərbi Hospital Papanin,hərbi_hospital_papanin,40.3995928,49.8214282
Xüsusi Müalicə Saglamliq Kompleksi (XMSK),xüsusi_müalicə_saglamliq_kompleksi_xmsk,40.3530668,49.809258
7 saylı Təcili Yardım Bölməsi,7_saylı_təcili_yardım_bölməsi,40.3761167,49.9523708
2 Saylı Kliniki Psixiatriya Xəstəxanası,2_saylı_kliniki_psixiatriya_xəstəxanası,40.3852416,49.8435489
Ağ Ciyər Xəstəlikləri İnstitutu/4 saylı Vərəm Dispanseri,ağ_ciyər_xəstəlikləri_i_nstitutu_4_saylı_vərəm_dispanseri,40.4203253,49.9454079
DTX Hospitalı \ Badamdar,dtx_hospitalı_badamdar,40.3389678,49.8029452
Modul Tipli Xəstəxana,modul_tipli_xəstəxana,40.3904129,49.8285673
BŞT və TTYS-nın Avtobazası,bşt_və_ttys-nın_avtobazası,40.3849407,49.8518977
Əlillərin Bərpa Mərkəzi,əlillərin_bərpa_mərkəzi,40.4191123,49.8206628
3 saylı Uşaq Dəri Zöhrəvi Dispanseri,3_saylı_uşaq_dəri_zöhrəvi_dispanseri,40.4188969,49.8402153
Sağlam Ailə,sağlam_ailə,40.4094263,49.8618572
